id,zhTW,prefix,new_name,suffix,color
11146,恐懼之鑰,,,|A1,
11147,憎恨之鑰,,,|A2,
11148,毀滅之鑰,,,|A5,
11164,扭曲的苦怨精華,,,|A1A2,
11165,充盈的憎恨精華,,,|A3,
11166,燃燒的恐懼精華,,,|A4,
11167,潰爛的毀滅精華,,,|A5,
20337,頭環,,,☆,
20338,寶冠,,,☆,
20339,頭冠,,,☆,
20433,珠寶,★,,★,
20435,小型咒符,★,,★,
20436,大型咒符,★,,★,
20437,特大咒符,★,,★,
2182,刺鼻毒氣藥水,,小毒,,gray
2183,烈性藥水,,小炸,,gray
2184,窒息毒氣藥水,,中毒,,gray
2185,爆炸藥水,,中炸,,gray
2186,腐臭毒氣藥水,,大毒,,gray
2187,火油藥水,,大炸,,gray
2191,維特的腿,,,,red
2200,城鎮傳送卷軸,,回城,,gray
2202,鑑定卷軸,,鑑定,,gray
2207,精力藥水,,精力,,gray
2208,解毒藥水,,解毒,,gray
2209,活力藥水,,小紫,,
2210,全效活力藥水,,大紫,,pink
2211,融冰藥水,,融冰,,gray
2212,護身符,★,,★,
2214,戒指,★,,★,
2215,金幣,,金,,
2218,弓矢,,,,gray
2220,弩箭,,,,gray
2221,鑰匙,,,,gray
2222,鑰匙,,,,gray
2238,紫寶石,,,,red
2239,無瑕紫寶石,,,,red
2240,完美紫寶石,,,,red
2243,黃寶石,,,,red
2244,無瑕黃寶石,,,,red
2245,完美黃寶石,,,,red
2248,藍寶石,,,,red
2249,無瑕藍寶石,,,,red
2250,完美藍寶石,,,,red
2253,無瑕綠寶石,,,,red
2254,綠寶石,,,,red
2255,完美綠寶石,,,,red
2258,紅寶石,,,,red
2259,無瑕紅寶石,,,,red
2260,完美紅寶石,,,,red
2263,鑽石,,,,red
2264,無瑕鑽石,,,,red
2265,完美鑽石,,,,red
2266,弱效生命藥水,,微紅,,gray
2267,輕效生命藥水,,小紅,,gray
2268,生命藥水,,中紅,,gray
2269,強效生命藥水,,大紅,,gray
2270,特效生命藥水,,超紅,,
2271,弱效法力藥水,,微藍,,gray
2272,輕效法力藥水,,小藍,,gray
2273,法力藥水,,中藍,,gray
2274,強效法力藥水,,大藍,,gray
2275,特效法力藥水,,超藍,,
2279,骷髏石,,,,red
2280,無瑕骷髏石,,,,red
2281,完美骷髏石,,,,red
